"company_name","description","goal","outcome","category_name","subcategory_name"
"Hanson Inc","Grass-roots web-enabled contingency","2900.00","successful","technology","web"
"Sanchez LLC","Stand-alone system-worthy standardization","900.00","successful","film & video","documentary"
"Howard Ltd","Down-sized systematic policy","69700.00","successful","theater","plays"
"Stewart LLC","Cloned bi-directional architecture","1300.00","successful","food","food trucks"
"Baker-Morris","Fully-configurable motivating approach","7600.00","successful","theater","plays"
"Douglas LLC","Reduced heuristic moratorium","900.00","successful","music","electric music"
"Garcia Inc","Front-line web-enabled model","3700.00","successful","technology","wearables"
"Smith, Wells and Nguyen","Self-enabling grid-enabled initiative","119200.00","successful","music","indie rock"
"Charles-Johnson","Total fresh-thinking system engine","6800.00","successful","technology","web"
"Brandt, Carter and Wood","Ameliorated clear-thinking circuit","3900.00","successful","theater","plays"
"Tucker, Schmidt and Reid","Multi-layered encompassing installation","3500.00","successful","theater","plays"
"Decker Inc","Universal encompassing implementation","1500.00","successful","film & video","documentary"
"Hart-Briggs","Re-engineered user-facing approach","61400.00","successful","publishing","radio & podcasts"
"Jones-Meyer","Re-engineered client-driven hub","4700.00","successful","technology","web"
"Wright, Hartman and Yu","User-friendly tertiary array","3300.00","successful","food","food trucks"
"Harper-Davis","Robust heuristic encoding","1900.00","successful","technology","wearables"
"Chaney-Dennis","Business-focused 24hour groupware","4900.00","successful","film & video","television"
"Robinson, Lopez and Christensen","Organic next generation protocol","5400.00","successful","photography","photography books"
"Clark and Sons","Reverse-engineered full-range Internet solution","5000.00","successful","film & video","documentary"
"Vega Group","Synchronized regional synergy","75100.00","successful","games","mobile games"
"Brown-Brown","Multi-lateral homogeneous success","45300.00","successful","games","video games"
"Stanton, Neal and Rodriguez","Polarized uniform software","2600.00","successful","photography","photography books"
"Pratt LLC","Stand-alone web-enabled moderator","5300.00","successful","theater","plays"
"Luna, Anderson and Fox","Secured directional encryption","9600.00","successful","film & video","drama"
"Fleming, Zhang and Henderson","Distributed 5thgeneration implementation","164700.00","successful","technology","web"
"Flowers and Sons","Virtual static core","3300.00","successful","theater","plays"
"Gates PLC","Secured content-based product","4500.00","successful","music","world music"
"Hudson-Nguyen","Down-sized disintermediate support","1800.00","successful","publishing","nonfiction"
"Bautista-Cross","Fully-configurable coherent Internet solution","5500.00","successful","film & video","documentary"
"Jackson LLC","Distributed motivating algorithm","64300.00","successful","technology","web"
"Figueroa Ltd","Expanded solution-oriented benchmark","5000.00","successful","technology","web"
"Avila-Jones","Implemented discrete secured line","5400.00","successful","music","indie rock"
"Martin, Lopez and Hunter","Multi-lateral actuating installation","9000.00","successful","theater","plays"
"Fields-Moore","Secured reciprocal array","25000.00","successful","technology","wearables"
"Moss, Norman and Dunlap","Upgradable upward-trending workforce","8300.00","successful","theater","plays"
"White, Larson and Wright","Upgradable hybrid capability","9300.00","successful","technology","wearables"
"Payne, Oliver and Burch","Managed fresh-thinking flexibility","6200.00","successful","music","indie rock"
"Bowen, Mcdonald and Hall","User-centric fault-tolerant task-force","41500.00","successful","music","indie rock"
"Carlson Inc","Ergonomic fresh-thinking installation","2100.00","successful","music","rock"
"Clarke, Anderson and Lee","Robust explicit hardware","191200.00","successful","theater","plays"
"Evans Group","Stand-alone actuating support","8000.00","successful","technology","wearables"
"Keith, Alvarez and Potter","Extended bottom-line open architecture","6100.00","successful","music","rock"
"Burton-Watkins","Extended reciprocal circuit","3500.00","successful","photography","photography books"
"Lopez and Sons","Polarized human-resource protocol","150500.00","successful","theater","plays"
"Cordova Ltd","Synergized radical product","90400.00","successful","technology","web"
"Brown-Vang","Robust heuristic artificial intelligence","9800.00","successful","photography","photography books"
"Cruz-Ward","Robust content-based emulation","2600.00","successful","theater","plays"
"Tran, Steele and Wilson","Profit-focused modular product","23300.00","successful","film & video","shorts"
"White LLC","Cross-group 4thgeneration middleware","96700.00","successful","theater","plays"
"Santos, Black and Donovan","Pre-emptive scalable access","600.00","successful","technology","wearables"
"Lee, Gibson and Morgan","Digitized solution-oriented product","38800.00","successful","theater","plays"
"Marks Ltd","Realigned human-resource orchestration","44500.00","successful","theater","plays"
"Olsen, Edwards and Reid","Optional clear-thinking software","56000.00","successful","technology","wearables"
"Adams Group","Reverse-engineered bandwidth-monitored contingency","27100.00","successful","theater","plays"
"Howard, Carter and Griffith","Adaptive asynchronous emulation","3600.00","successful","theater","plays"
"Fox Group","Horizontal transitional paradigm","60200.00","successful","film & video","shorts"
"Sandoval Group","Assimilated multi-tasking archive","7100.00","successful","music","metal"
"Smith and Sons","Upgradable high-level solution","15800.00","successful","music","electric music"
"Perry and Sons","Business-focused logistical framework","54700.00","successful","film & video","drama"
"Osborne, Perkins and Knox","Cross-platform bi-directional workforce","2100.00","successful","technology","web"
"Hayden, Shannon and Stein","Customer-focused client-server service-desk","143900.00","successful","theater","plays"
"Weaver-Marquez","Focused analyzing circuit","1300.00","successful","theater","plays"
"Carney-Anderson","Digitized 5thgeneration knowledgebase","1000.00","successful","music","rock"
"Jackson Inc","Mandatory multi-tasking encryption","196900.00","successful","film & video","documentary"
"Johnson Inc","Profound next generation infrastructure","8100.00","successful","theater","plays"
"Morgan-Warren","Face-to-face encompassing info-mediaries","87900.00","successful","music","indie rock"
"Sullivan Group","Open-source fresh-thinking policy","1400.00","successful","music","rock"
"Johnson, Dixon and Zimmerman","Organic dynamic algorithm","121700.00","successful","theater","plays"
"Price-Rodriguez","Adaptive logistical initiative","5700.00","successful","film & video","shorts"
"Huang-Henderson","Stand-alone mobile customer loyalty","41700.00","successful","film & video","animation"
"Johnson LLC","Cross-group cohesive circuit","4800.00","successful","photography","photography books"
"Lester-Moore","Diverse analyzing definition","46300.00","successful","film & video","science fiction"
"Fox-Quinn","Enterprise-wide reciprocal success","67800.00","successful","music","rock"
"Garcia Inc","Progressive neutral middleware","3000.00","successful","photography","photography books"
"Johnson-Lee","Intuitive exuding process improvement","60900.00","successful","games","mobile games"
"Pineda Group","Exclusive real-time protocol","137900.00","successful","film & video","animation"
"Hoffman-Howard","Extended encompassing application","85600.00","successful","games","mobile games"
"Miranda, Hall and Mcgrath","Progressive value-added ability","2400.00","successful","games","video games"
"Davis-Rodriguez","Progressive secondary portal","3400.00","successful","theater","plays"
"Reid, Rivera and Perry","Multi-lateral national adapter","3800.00","successful","film & video","animation"
"Mendoza-Parker","Enterprise-wide motivating matrices","7500.00","successful","games","video games"
"Ellison PLC","Re-contextualized tangible open architecture","9300.00","successful","film & video","animation"
"Bolton, Sanchez and Carrillo","Distributed systemic adapter","2400.00","successful","theater","plays"
"Pitts-Reed","Vision-oriented dynamic service-desk","29400.00","successful","theater","plays"
"Gonzalez-Martinez","Vision-oriented actuating open system","168500.00","successful","publishing","nonfiction"
"Hill, Martin and Garcia","Sharable scalable core","8400.00","successful","music","rock"
"Garcia PLC","Customer-focused attitude-oriented function","2300.00","successful","theater","plays"
"Herring-Bailey","Reverse-engineered system-worthy extranet","700.00","successful","theater","plays"
"Russell-Gardner","Re-engineered systematic monitoring","2900.00","successful","theater","plays"
"Walters-Carter","Seamless value-added standardization","4500.00","successful","technology","web"
"Johnson, Patterson and Montoya","Triple-buffered fresh-thinking frame","19800.00","successful","publishing","fiction"
"Roberts and Sons","Streamlined holistic knowledgebase","6200.00","successful","games","mobile games"
"Avila-Nelson","Up-sized intermediate website","61500.00","successful","publishing","translations"
"Perez PLC","Operative bandwidth-monitored interface","1000.00","successful","theater","plays"
"Barry Group","De-engineered static Local Area Network","4600.00","successful","publishing","nonfiction"
"Rosales, Branch and Harmon","Upgradable grid-enabled superstructure","80500.00","successful","music","rock"
"Williams Inc","Decentralized exuding strategy","5700.00","successful","theater","plays"
"Duncan, Mcdonald and Miller","Assimilated coherent hardware","5000.00","successful","theater","plays"
"Watkins Ltd","Multi-channeled responsive implementation","1800.00","successful","photography","photography books"
"Allen-Jones","Centralized modular initiative","6300.00","successful","music","rock"
"Lloyd, Kennedy and Davis","Compatible multimedia hub","1700.00","successful","music","indie rock"
"Walker Ltd","Organic eco-centric success","2900.00","successful","photography","photography books"
"Gordon PLC","Virtual reciprocal policy","45600.00","successful","theater","plays"
"Lee and Sons","Persevering interactive emulation","4900.00","successful","theater","plays"
"Acosta PLC","Extended eco-centric function","61600.00","successful","theater","plays"
"Brown-Mckee","Networked optimal productivity","1500.00","successful","film & video","documentary"
"Miles and Sons","Persistent attitude-oriented approach","3500.00","successful","film & video","television"
"Horton, Morrison and Clark","Networked radical neural-net","51100.00","successful","theater","plays"
"Thomas and Sons","Re-engineered heuristic forecast","7800.00","successful","theater","plays"
"Ward, Sanchez and Kemp","Stand-alone discrete Graphical User Interface","3900.00","successful","publishing","translations"
"Ramos-Mitchell","Persevering system-worthy info-mediaries","700.00","successful","theater","plays"
"Higgins, Davis and Salazar","Distributed multi-tasking strategy","2700.00","successful","technology","web"
"Smith-Jenkins","Vision-oriented methodical application","8000.00","successful","theater","plays"
"Braun PLC","Function-based high-level infrastructure","2500.00","successful","film & video","animation"
"Ross, Kelly and Brown","Virtual contextually-based circuit","8400.00","successful","film & video","television"
"Dawson, Brady and Gilbert","Front-line optimizing emulation","900.00","successful","theater","plays"
"Ferguson PLC","Public-key intangible superstructure","6300.00","successful","music","electric music"
"Smith, Love and Smith","Grass-roots mission-critical capability","800.00","successful","theater","plays"
"Bell, Grimes and Kerr","Self-enabling uniform complexity","1800.00","successful","technology","web"
"Turner-Davis","Automated local emulation","600.00","successful","theater","plays"
"Chase, Garcia and Johnson","Adaptive intangible database","3500.00","successful","music","rock"
"Wong-Walker","Multi-channeled disintermediate policy","900.00","successful","film & video","documentary"
"Peterson PLC","User-friendly discrete benchmark","2100.00","successful","film & video","documentary"
"Townsend Ltd","Grass-roots actuating policy","2800.00","successful","theater","plays"
"Salazar-Dodson","Face-to-face zero tolerance moderator","32900.00","successful","publishing","fiction"
"Flores PLC","Focused real-time help-desk","6300.00","successful","theater","plays"
"Martinez LLC","Robust impactful approach","59100.00","successful","theater","plays"
"Miller-Irwin","Secured maximized policy","2200.00","successful","music","rock"
"Sanchez-Morgan","Realigned upward-trending strategy","1400.00","successful","film & video","documentary"
"Hebert Group","Visionary asymmetric Graphical User Interface","117900.00","successful","theater","plays"
"Harris, Hall and Harris","Inverse analyzing matrices","7100.00","successful","theater","plays"
"Young PLC","Innovative well-modulated functionalities","98700.00","successful","music","rock"
"Thompson-Bates","Expanded encompassing open architecture","33700.00","successful","film & video","documentary"
"Rose-Silva","Intuitive static portal","3300.00","successful","food","food trucks"
"Pacheco, Johnson and Torres","Optional bandwidth-monitored definition","20700.00","successful","technology","wearables"
"Carlson, Dixon and Jones","Persistent well-modulated synergy","9600.00","successful","theater","plays"
"Mcgee Group","Assimilated discrete algorithm","66200.00","successful","music","rock"
"Jordan-Acosta","Operative uniform hub","173800.00","successful","music","rock"
"Hayden Ltd","Innovative didactic analyzer","94500.00","successful","theater","plays"
"Gonzalez-Burton","Decentralized intangible encoding","69800.00","successful","theater","plays"
"Petersen and Sons","Open-source full-range portal","900.00","successful","technology","web"
"Young LLC","Universal maximized methodology","74100.00","successful","music","rock"
"Mills-Roy","Profit-focused multi-tasking access","33600.00","successful","theater","plays"
"Brown Group","Profit-focused transitional capability","6100.00","successful","film & video","documentary"
"Perez, Davis and Wilson","Implemented tangible algorithm","2300.00","successful","games","video games"
"Salazar-Moon","Compatible needs-based architecture","4000.00","successful","film & video","animation"
"Larsen-Chung","Right-sized zero tolerance migration","59700.00","successful","theater","plays"
"Anderson and Sons","Quality-focused reciprocal structure","5500.00","successful","theater","plays"
"Lawrence Group","Automated actuating conglomeration","3700.00","successful","music","rock"
"Gray-Davis","Re-contextualized local initiative","5200.00","successful","music","rock"
"Ramirez-Myers","Switchable intangible definition","900.00","successful","music","indie rock"
"Lucas, Hall and Bonilla","Networked bottom-line initiative","1600.00","successful","theater","plays"
"Williams, Perez and Villegas","Robust directional system engine","1800.00","successful","theater","plays"
"Whitaker, Wallace and Daniels","Reactive directional capacity","5200.00","successful","film & video","documentary"
"Smith-Gonzalez","Polarized needs-based approach","5400.00","successful","film & video","television"
"Skinner PLC","Intuitive well-modulated middleware","112300.00","successful","theater","plays"
"Green-Carr","Pre-emptive bifurcated artificial intelligence","900.00","successful","film & video","documentary"
"Brown-Parker","Down-sized coherent toolset","22500.00","successful","theater","plays"
"Perry PLC","Mandatory uniform matrix","3400.00","successful","music","rock"
"Davidson, Wilcox and Lewis","Optional clear-thinking process improvement","2500.00","successful","theater","plays"
"Michael, Anderson and Vincent","Cross-group global moratorium","5300.00","successful","theater","plays"
"Baker Ltd","Progressive intangible flexibility","6300.00","successful","food","food trucks"
"Baker, Collins and Smith","Reactive real-time software","114400.00","successful","film & video","documentary"
"Warren-Harrison","Programmable incremental knowledge user","38900.00","successful","publishing","nonfiction"
"Knox-Garner","Automated systemic hierarchy","83000.00","successful","theater","plays"
"Davis-Allen","Digitized eco-centric core","2400.00","successful","photography","photography books"
"Owens, Hall and Gonzalez","De-engineered static orchestration","62800.00","successful","music","jazz"
"Noble-Bailey","Customizable dynamic info-mediaries","800.00","successful","film & video","documentary"
"Taylor PLC","Enhanced incremental budgetary management","7100.00","successful","theater","plays"
"Holmes PLC","Digitized local info-mediaries","46100.00","successful","film & video","drama"
"Jones-Martin","Virtual systematic monitoring","8100.00","successful","music","rock"
"Myers LLC","Reactive bottom-line open architecture","1700.00","successful","film & video","animation"
"Smith-Schmidt","Inverse radical hierarchy","900.00","successful","theater","plays"
"Bailey-Boyer","Visionary exuding Internet solution","48900.00","successful","theater","plays"
"Lyons Inc","Balanced attitude-oriented parallelism","39300.00","successful","film & video","documentary"
"Herrera-Wilson","Organized bandwidth-monitored core","3400.00","successful","theater","plays"
"Mahoney, Adams and Lucas","Cloned leadingedge utilization","9200.00","successful","film & video","documentary"
"Beck, Thompson and Martinez","Down-sized maximized function","7800.00","successful","theater","plays"
"Rodriguez-Scott","Realigned zero tolerance software","2100.00","successful","publishing","fiction"
"Ware-Arias","Upgradable maximized protocol","113800.00","successful","technology","web"
"Blair, Reyes and Woods","Cross-platform interactive synergy","5000.00","successful","theater","plays"
"Brown, Davies and Pacheco","Reverse-engineered regional knowledge user","8700.00","successful","theater","plays"
"Sullivan, Davis and Booth","Vision-oriented actuating hardware","2700.00","successful","photography","photography books"
"Edwards-Kane","Virtual leadingedge framework","1800.00","successful","theater","plays"
"Hicks, Wall and Webb","Managed discrete framework","174500.00","successful","theater","plays"
"Rosales LLC","Compatible multimedia utilization","5100.00","successful","theater","plays"
"Spence, Jackson and Kelly","Advanced discrete leverage","152400.00","successful","theater","plays"
"King-Nguyen","Open-source incremental throughput","1300.00","successful","music","jazz"
"Hansen Group","Centralized regional interface","8100.00","successful","film & video","animation"
"Mathis, Hall and Hansen","Streamlined web-enabled knowledgebase","8300.00","successful","theater","plays"
"Cummings Inc","Digitized transitional monitoring","28400.00","successful","film & video","science fiction"
"Miller-Poole","Networked optimal adapter","102500.00","successful","film & video","television"
"Calderon, Bradford and Dean","Devolved system-worthy framework","5400.00","successful","theater","plays"
"Hensley Ltd","Versatile global attitude","6200.00","successful","music","indie rock"
"Anderson-Pearson","Intuitive demand-driven Local Area Network","2100.00","successful","theater","plays"
"Cuevas-Morales","Public-key coherent ability","900.00","successful","games","video games"
"Padilla-Porter","Innovative exuding matrix","148400.00","successful","music","rock"
"Villanueva, Wright and Richardson","Profit-focused global product","116500.00","successful","theater","plays"
"Wilson, Brooks and Clark","Operative well-modulated data-warehouse","146400.00","successful","music","indie rock"
"Wise, Thompson and Allen","Pre-emptive neutral portal","33800.00","successful","theater","plays"
"Rich, Alvarez and King","Business-focused static ability","2400.00","successful","theater","plays"
"Terry-Salinas","Networked secondary structure","98800.00","successful","film & video","drama"
"Mckee-Hill","Cross-platform upward-trending parallelism","134300.00","successful","film & video","animation"
"Gomez LLC","Pre-emptive mission-critical hardware","71200.00","successful","theater","plays"
"Gonzalez-Robbins","Up-sized responsive protocol","4700.00","successful","publishing","translations"
"Obrien and Sons","Pre-emptive transitional frame","1200.00","successful","technology","wearables"
"Shaw Ltd","Profit-focused content-based application","1400.00","successful","technology","web"
"Olsen-Ryan","Assimilated neutral utilization","5600.00","successful","film & video","drama"
"Grimes, Holland and Sloan","Extended dedicated archive","3600.00","successful","technology","wearables"
"Perry and Sons","Configurable static help-desk","3100.00","successful","food","food trucks"
"Richardson Inc","Assimilated fault-tolerant capacity","5000.00","successful","music","electric music"
"Santos-Young","Enhanced neutral ability","4000.00","successful","film & video","television"
"Nichols Ltd","Function-based attitude-oriented groupware","7400.00","successful","publishing","translations"
"Lyons LLC","Balanced impactful circuit","68800.00","successful","technology","wearables"
"Long-Greene","Future-proofed heuristic encryption","2400.00","successful","food","food trucks"
"Robles-Hudson","Balanced bifurcated leverage","8600.00","successful","photography","photography books"
"Landry Inc","Synergistic cohesive adapter","29600.00","successful","food","food trucks"
"Smith-Wallace","Monitored 24/7 time-frame","110300.00","successful","theater","plays"
"Cordova, Shaw and Wang","Virtual secondary open architecture","5300.00","successful","theater","plays"
"Clark Inc","Down-sized mobile time-frame","9200.00","successful","technology","wearables"
"Young and Sons","Innovative disintermediate encryption","2400.00","successful","journalism","audio"
"Henson PLC","Universal contextually-based knowledgebase","56800.00","successful","food","food trucks"
"Adams, Walker and Wong","Seamless background framework","900.00","successful","photography","photography books"
"Hopkins-Browning","Balanced upward-trending productivity","2500.00","successful","technology","wearables"
"Bell, Edwards and Andersen","Centralized clear-thinking solution","3200.00","successful","theater","plays"
"Johnson Inc","Reduced context-sensitive complexity","1300.00","successful","games","video games"
"Collins LLC","Decentralized 4thgeneration time-frame","25500.00","successful","film & video","drama"
"Robles, Bell and Gonzalez","Customizable background monitoring","18000.00","successful","theater","plays"
"Roberts Group","Up-sized radical pricing structure","172700.00","successful","theater","plays"
"Best, Miller and Thomas","Re-engineered mobile task-force","7800.00","successful","film & video","drama"
"Williams-Walsh","Organized explicit core","9100.00","successful","games","video games"
"Ramirez LLC","Multi-tiered maximized orchestration","5900.00","successful","food","food trucks"
"Marsh-Coleman","Exclusive asymmetric analyzer","177700.00","successful","music","rock"
"Frederick, Jenkins and Collins","Organic radical collaboration","800.00","successful","theater","plays"
"Wilson Ltd","Function-based multi-state software","7600.00","successful","film & video","drama"
"Underwood, James and Jones","Triple-buffered holistic ability","900.00","successful","film & video","shorts"
"Smith-Sparks","Digitized bandwidth-monitored open architecture","8300.00","successful","theater","plays"
"Cordova-Torres","Pre-emptive grid-enabled contingency","1600.00","successful","theater","plays"
"Holt, Bernard and Johnson","Multi-lateral didactic encoding","115600.00","successful","music","indie rock"
"Garrison LLC","Profit-focused 24/7 data-warehouse","2600.00","successful","theater","plays"
"Shannon-Olson","Enhanced methodical middleware","9800.00","successful","publishing","fiction"
"Murillo-Mcfarland","Synchronized client-driven projection","84400.00","successful","film & video","documentary"
"Brown-Pena","Front-line client-server secured line","5300.00","successful","photography","photography books"
"Taylor Inc","Public-key 3rdgeneration system engine","2800.00","successful","music","rock"
"Benjamin, Paul and Ferguson","Cloned global Graphical User Interface","4200.00","successful","theater","plays"
"Hardin-Dixon","Focused solution-oriented matrix","1300.00","successful","film & video","drama"
"York-Pitts","Monitored discrete toolset","66100.00","successful","theater","plays"
"Jarvis and Sons","Business-focused intermediate system engine","29500.00","successful","technology","wearables"
"Ritter PLC","Multi-channeled upward-trending application","9500.00","successful","music","indie rock"
"Anderson Group","Organic maximized database","6300.00","successful","music","rock"
"Smith and Sons","Grass-roots 24/7 attitude","5200.00","successful","publishing","translations"
"Lam-Hamilton","Team-oriented global strategy","6000.00","successful","film & video","science fiction"
"Ho Ltd","Enhanced client-driven capacity","5800.00","successful","theater","plays"
"Brown, Estrada and Jensen","Exclusive systematic productivity","105300.00","successful","theater","plays"
"Hunt LLC","Re-engineered radical policy","20000.00","successful","film & video","animation"
"Fowler-Smith","Down-sized logistical adapter","3000.00","successful","theater","plays"
"Kelley, Stanton and Sanchez","Optional tangible pricing structure","3700.00","successful","film & video","documentary"
"Joseph LLC","Decentralized logistical collaboration","94900.00","successful","theater","plays"
"Johns PLC","Distributed high-level open architecture","6800.00","successful","music","rock"
"Hardin-Foley","Synergized zero tolerance help-desk","72400.00","successful","theater","plays"
"Fischer, Fowler and Arnold","Extended multi-tasking definition","20100.00","successful","film & video","animation"
"Martinez-Juarez","Realigned uniform knowledge user","31200.00","successful","music","rock"
"Valenzuela-Cook","Total incremental productivity","6700.00","successful","journalism","audio"
"Parker, Haley and Foster","Adaptive local task-force","2700.00","successful","food","food trucks"
"Franklin Inc","Focused multimedia knowledgebase","6200.00","successful","music","jazz"
"Perez PLC","Seamless 6thgeneration extranet","43800.00","successful","theater","plays"
"Powell and Sons","Centralized clear-thinking conglomeration","18900.00","successful","film & video","documentary"
"Nunez-Richards","De-engineered cohesive system engine","86400.00","successful","technology","web"
"Pugh LLC","Reactive analyzing function","8900.00","successful","publishing","translations"
"Rowe-Wong","Robust hybrid budgetary management","700.00","successful","music","rock"
"Jensen LLC","Realigned dedicated system engine","600.00","successful","games","video games"
"Hale-Hayes","Ameliorated client-driven open system","121600.00","successful","film & video","animation"
"Harris-Jennings","Customizable intermediate data-warehouse","70300.00","successful","theater","plays"
"Todd, Freeman and Henry","Diverse systematic projection","73800.00","successful","theater","plays"
"Martinez, Garza and Young","Up-sized web-enabled info-mediaries","108500.00","successful","music","rock"
"Waters and Sons","Inverse neutral structure","6300.00","successful","technology","wearables"
"Brown Ltd","Quality-focused system-worthy support","71100.00","successful","theater","plays"
"Christian, Yates and Greer","Vision-oriented 5thgeneration array","5300.00","successful","theater","plays"
"Cole, Hernandez and Rodriguez","Cross-platform logistical circuit","88700.00","successful","theater","plays"
"Ortiz, Valenzuela and Collins","Profound solution-oriented matrix","3300.00","successful","publishing","nonfiction"
"Valencia PLC","Extended asynchronous initiative","3400.00","successful","music","rock"
"Gordon, Mendez and Johnson","Fundamental needs-based frame","137600.00","successful","food","food trucks"
"Johnson Group","Compatible full-range leverage","3900.00","successful","music","jazz"
"Rose-Fuller","Upgradable holistic system engine","10000.00","successful","film & video","science fiction"
"Hughes, Mendez and Patterson","Stand-alone multi-state data-warehouse","42800.00","successful","theater","plays"
"Wang, Nguyen and Horton","Innovative holistic hub","6200.00","successful","music","electric music"
"Santos, Williams and Brown","Reverse-engineered 24/7 methodology","1100.00","successful","theater","plays"
"Barnett and Sons","Business-focused dynamic info-mediaries","26500.00","successful","theater","plays"
"Petersen-Rodriguez","Digitized clear-thinking installation","8500.00","successful","theater","plays"
"Burnett-Mora","Quality-focused 24/7 superstructure","6400.00","successful","music","indie rock"
"King LLC","Multi-channeled local intranet","1400.00","successful","theater","plays"
"Swanson, Wilson and Baker","Synergized well-modulated project","4300.00","successful","photography","photography books"
"Dean, Fox and Phillips","Extended context-sensitive forecast","25600.00","successful","theater","plays"
"Smith, Scott and Rodriguez","Organic actuating protocol","94300.00","successful","theater","plays"
"White, Robertson and Roberts","Down-sized national software","5100.00","successful","photography","photography books"
